PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated
PSTW-2379,Battling pandemics with the help of AI,https://www.nlga.niedersachsen.de/chatbot,"In response to the surge in public inquiries during health crises like the COVID-19 pandemic, the Lower Saxony State Health Office (NLGA) in Germany collaborated with Nortal to develop ""Nova,"" an AI-driven chatbot. Built on Nortal's AI solution, Nortal Tark, Nova provides citizens with instant, around-the-clock answers to health-related questions, thereby alleviating the workload on health department staff. Accessible via the NLGA website, Nova delivers information on various diseases and health concerns within seconds. The system operates on a secure, NLGA-controlled database, ensuring data integrity and protection against misuse. By swiftly assimilating new information and understanding content context, Nova exemplifies the effective integration of generative AI and large language models in public administration, enhancing communication and operational efficiency during health emergencies.",Regional,Germany,DE9,Lower Saxony State Health Office (NLGA),Regional Government,Health,Public health services.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://nortal.com/insights/battling-pandemics-with-the-help-of-ai/,Learning,Machine learning,Generative AI,,,chatbot,Private corporation,,,No,Nortal,,,,,24/03/2025
PSTW-2380,BeReady - AI to enhance Air Raid Warning System,https://nortal.com/insights/estonian-air-force-utilizes-ai-to-enhance-air-raid-warning-system/,"The Estonian Air Force has enhanced its air raid warning system by integrating an AI-powered air threat identification feature into the ""Be Ready"" mobile application, developed in collaboration with Estonia-based IT companies. This application allows citizens to report suspicious aerial activities by capturing and submitting photos via their mobile devices. The AI system processes these inputs, consolidating data from multiple users to generate real-time, actionable intelligence for the Air Force. This innovation was successfully tested during Estonia's largest annual joint military exercise, Spring Storm 2024, and has since bolstered national security by effectively expanding surveillance capabilities through citizen participation.",National,Estonia,EE,Estonian Air Force,Central-Government,Public order and safety,Public order and safety n.e.c.,Implemented,2024,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://nortal.com/insights/estonian-air-force-utilizes-ai-to-enhance-air-raid-warning-system/,Perception,Computer vision,Automated reasoning and Automated Decision Making (ADM),,,,Private corporation,,,No,Nortal,,,,,24/03/2025
PSTW-2381,Good Public Space for Walking pilot in multiple dutch Municipalities,https://www.humankind.city/project/good-public-space-for-walking,"The ""Good Public Space for Walking"" project, developed by Humankind between 2021 and 2022, is an interdisciplinary, human-centric methodology designed to assess and enhance urban public spaces. By combining classical spatial analysis with behavioral studies, the project identifies discrepancies between a space's design and its actual use, facilitating straightforward planning recommendations. A notable aspect of this initiative is its integration of AI-driven citizen participation, ensuring that the voices and needs of the community are central to the planning process. This approach aims to create public spaces that are both functional and responsive to their users, promoting activities that support health and well-being, such as walking, sitting, and socialising.",Local,Netherlands,NL11,"Municipalities of Den Haag, Groningen, Nijmegen, Rotterdam",Local Government,Housing and community amenities,Community development.,Pilot,2021,2022,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,x,,,,,https://www.humankind.city/project/good-public-space-for-walking,Reasoning,Knowledge representation,,,,,GovTech,,,Yes,Humankind (https://www.humankind.city/) GTS-1049,,,,,24/03/2025
PSTW-2382,Bikeability.AI to analise bikeability in Municipality of Dordrecht,https://horizons.eco/projecten-1,Bikeability is an AI-based tool to analyse bikeability at district and city level and visualize the positive impact of planned infrastructural interventions. This leads to insights for the development of new policy. Launching partner is the municipality of Dordrecht.,Local,Netherlands,NL33,Municipality of Dordrecht,Local Government,Housing and community amenities,Community development.,Implemented,2020,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2B,x,,x,x,,x,,,,,,,,,,,,,https://horizons.eco/projecten-1,Reasoning,Knowledge representation,,,,,GovTech,,,Yes,Sobolt (https://www.sobolt.com/nl/) GTS-1050,,,,,24/03/2025
PSTW-2383,AI for certfied emails management in the Municipality of Cinisello Balsamo,https://www.agendadigitale.eu/cittadinanza-digitale/gestione-pec-nella-pa-perche-puntare-sullai-il-caso-di-cinisello-balsamo/#Il_caso_il_Comune_di_Cinisello_Balsamo_e_la_gestione_della_Pec,"The Municipality of Cinisello Balsamo implemented an AI-based system to automate the management of certified emails (PEC). This solution, developed in collaboration with Make IT, automates tasks such as reading, classifying, and sorting PEC messages, reducing the manual workload of municipal staff. The adoption of AI has improved operational efficiency, allowing employees to focus on more strategic and fulfilling tasks. The project highlights the importance of considering security, data protection, and ethical aspects when implementing AI technologies in public administration.",Local,Italy,ITC4,Municipality of Cinisello Balsamo,Local Government,General public services,General public services n.e.c.,Implemented,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,,x,,,,,,,,https://www.comune.cinisello-balsamo.mi.it/spip.php?article39255,Planning,Optimisation,Robotics and Automation and Robotic Process Automation (RPA),,,,GovTech,,,Yes,Make IT (https://www.make-it.it/) GTS-1051,,,,,24/03/2025
PSTW-2384,UiPath - AI to help farmers get EU funding,https://www.euronews.com/next/2024/03/26/romanian-agency-uses-ai-to-help-farmers-get-eu-funding,"The Agency for Financing Rural Investments (AFIR) in Romania has adopted artificial intelligence (AI) to streamline the process by which farmers access European Union (EU) funding. In collaboration with UiPath, AFIR utilizes AI to automate the retrieval of necessary documents and authorizations, significantly reducing processing times and costs. This automation has enhanced operational efficiency, benefiting over 50,000 stakeholders, including farmers and state institutions. ",National,Romania,RO,Rural Investing Finance Authority (AFIR),Central-Government,General public services,General public services n.e.c.,Implemented,2024,,Enforcement,Certification and validation processes,No,No,Artificial Intelligence,,G2B,x,,,,,x,,,,,,,,,,,,,https://www.euronews.com/next/2024/03/26/romanian-agency-uses-ai-to-help-farmers-get-eu-funding,Integration and Interaction,Robotics and Automation and Robotic Process Automation (RPA),,,,,Private corporation,,,No,UiPath,,,,,24/03/2025
PSTW-2385,AI Supercomputing Platform ,https://seenews.com/news/serbia-to-invest-40-mln-euro-in-supercomputer-upgrades-in-2025-1266843,"Recognising the importance of artificial intelligence (AI) and the innovative potential of startups, the Government of Serbia launched a national AI supercomputing platform in 2021. This platform, situated in the Government Data Center in Kragujevac, offers computational resources and training free of charge to innovative companies and startups through a public call for proposals. By providing access to high-performance computing, the platform enables users to tackle complex AI tasks, develop advanced models, and strengthen Serbia's AI community. Thirty-eight institutions and 35 startup companies, with more than 360 user accounts combined, currently have access to the platform, Jovanovic told a conference, as quoted by his office in a press release.",National,Serbia,SRB,Government of Serbia,Central-Government,General public services,General public services n.e.c.,Implemented,2021,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,Yes,Quantum Computing,,G2B,x,,x,,,x,,,,,,,,,,,,,https://oecd-opsi.org/innovations/ai-supercomputing-platform/,,,,,,,Private corporation,,,No,NVIDIA,,,,,24/03/2025
PSTW-2386,COMtext.SR - An AI model for a small-ish language,https://www.ic.etf.bg.ac.rs/projects/comtext-sr/,"COMtext.SR is a project for developing a basic set of resources and tools for the automatic processing of texts in the Serbian language, both for “ekavica” and “ijekavica”, which will be publicly available under a license that allows their use for any purpose, including commercial ones. The focus of the project is on domains of texts that have not been considered so far in either academic or commercial publicly available resources and tools for the Serbian language, such as legal, administrative, financial, medical, etc. With that goal in mind, this project gathers and synchronizes the wider community (IT industry, academic community) that will contribute to the realisation of this task by donating professional and material resources and intellectual property.",National,Serbia,SRB,Innovation Center of the School of Electrical Engineering in Belgrade (ICEF),Academic-Research,General public services,General public services n.e.c.,In development,2024,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,Yes,Artificial Intelligence,,G2B,x,,x,,x,x,,,,,,,,,,,,,https://www.eib.org/en/stories/serbia-artificial-intelligence-belgrade-university,Communication,Natural language processing,,,,,Universities/Research organisations,,,,,,,https://github.com/ICEF-NLP/COMtext.SR,,24/03/2025
PSTW-2387,Devana Supercomputer in Slovakia,https://vs.sav.sk/en/services/supercomputer-devana/,"The Computing Center of the Slovak Academy of Sciences (CC SAS) unveiled the Devana supercomputer in May 2023, replacing the previous Aurel system. Procured under the Operational Program Integrated Infrastructure, Devana boasts a theoretical performance of approximately 800 teraflops, positioning it among the top 500 most powerful supercomputers in the EU. Its architecture includes 140 universal computing nodes and 8 GPU-accelerated nodes, facilitating advanced applications in artificial intelligence and machine learning. Accessible free of charge to scientists and researchers from Slovak universities and SAS institutes, Devana supports both academic and commercial projects, fostering innovation across various scientific and technological domains. ",Across Countries,Slovakia,SK,Computing Center of the Slovak Academy of Sciences (CC SAS),Academic-Research,General public services,General public services n.e.c.,Implemented,2023,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,Yes,Quantum Computing,,G2B,x,,,,,x,,,,,,,,,,,,,https://vs.sav.sk/en/services/supercomputer-devana/,,,,,,,Universities/Research organisations,,,,,,,,,24/03/2025
PSTW-2389,AI pilot in Public Safety Answering Point (PSAP) in Czechia,https://eena.org/wp-content/uploads/2024_12_02_EENA_AI_Project_Final_Report.pdf,"PSAPs in Czechia, the Basque Country, and Andalusia, Spain, recently tested Cestel’s NatalíA solution, a natural language processor designed to enhance emergency communication through simultaneous language detection, translation, transcription, and text-to-speech services. This innovative tool aims to bridge linguistic barriers, particularly in regions with diverse languages or high tourism, where emergency callers may not speak the local language. In Czechia, the PSAP conducted around 70 test calls in various languages, focusing on the functionality of transcription and translation tools. The tests revealed that while the solution showed promise, it faced challenges such as varying accuracy across languages and difficulties in maintaining the chronology of conversations, especially with faster speech. The PSAP also noted the system's struggle with identifying questions in Czech, which rely heavily on voice intonation. Despite these issues, the PSAP saw potential in AI for future emergency communications but emphasised the need for further improvements and a preference for on-premise solutions to ensure data security.",National,Czechia,CZ,Fire Rescue Service of the Czech Republic,Central-Government,Public order and safety,Fire-protection services ,Pilot,2024,2024,Internal management,Internal support processes,Yes,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,x,,,,,,,https://eena.org/ai-special-project/,Communication,Natural language processing,,,,natural language understanding,Private corporation,,EU-funded project,No,Cestel,,,,,29/09/2025
PSTW-2390,AI pilot in Public Safety Answering Point (PSAP) in Andalusia,https://eena.org/wp-content/uploads/2024_12_02_EENA_AI_Project_Final_Report.pdf,"PSAPs in Czechia, the Basque Country, and Andalusia, Spain, recently tested Cestel’s NatalíA solution, a natural language processor designed to enhance emergency communication through simultaneous language detection, translation, transcription, and text-to-speech services. This innovative tool aims to bridge linguistic barriers, particularly in regions with diverse languages or high tourism, where emergency callers may not speak the local language. In Andalusia, the PSAP tested the solution on a smaller scale, focusing on transcription and text-to-speech services, which performed well. However, the translation service faced criticism for being overly literal and struggling with emergency-specific terms. Background noise was a significant issue, delaying information receipt and disrupting conversation flow. The PSAP recommended prioritizing transcription development and improving the cohesion among different services. They expressed interest in acquiring the tool if these issues were addressed. Overall, the pilots highlighted NatalíA's potential to revolutionise emergency communications by facilitating language support and improving data collection.",Regional,Spain,ES,Emergencies 112 Andalusia,Regional Government,Public order and safety,Public order and safety n.e.c.,Pilot,2024,2024,Internal management,Internal support processes,Yes,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,x,,,,,,,https://eena.org/ai-special-project/,Communication,Natural language processing,,,,natural language understanding,Private corporation,,EU-funded project,No,Cestel,,,,,29/09/2025
PSTW-2391,AI pilot in Public Safety Answering Point (PSAP) in Basque Country,https://eena.org/wp-content/uploads/2024_12_02_EENA_AI_Project_Final_Report.pdf,"PSAPs in Czechia, the Basque Country, and Andalusia, Spain, recently tested Cestel’s NatalíA solution, a natural language processor designed to enhance emergency communication through simultaneous language detection, translation, transcription, and text-to-speech services. This innovative tool aims to bridge linguistic barriers, particularly in regions with diverse languages or high tourism, where emergency callers may not speak the local language. The Basque Country PSAP tested the transcription service over 25 simulated calls in Spanish, finding that the AI effectively captured speaker dialogues with good punctuation and spelling. However, it struggled with transcribing names of institutions and specific Basque characters. Background noise significantly impacted transcription quality, particularly in hands-free settings. The PSAP acknowledged the tool's potential to improve PSAP effectiveness but stressed the need for better accuracy and chronology handling before operational use.",Regional,Spain,ES,SOS Deiak Emergency Coordination Centre,Regional Government,Public order and safety,Public order and safety n.e.c.,Pilot,2024,2024,Internal management,Internal support processes,Yes,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,x,,,,,,,https://eena.org/ai-special-project/,Communication,Natural language processing,,,,natural language understanding,Private corporation,,EU-funded project,No,Cestel,,,,,29/09/2025
PSTW-2392,AI pilot in Public Safety Answering Point (PSAP) in Ludwigshafen (Germany),https://eena.org/wp-content/uploads/2024_12_02_EENA_AI_Project_Final_Report.pdf,"Ludwigshafen PSAP tested LiveReader’s ALTERNIS solution, a natural language processor which offers simultaneous language detection, translation and transcription. The solution can also convert transcribed language back to audio for call-responders, and can switch automatically between languages during calls if the language changes, although this feature was modified during the trial. The detection and transcription system runs offline and on-premises, ensuring security and reliability for PSAPs, as it does not store any data. The translation service is performed by an external service, accessible via a web browser, but also does not store any data. Any data from these calls was visible only to the call taker and the management overseeing the pilot. In addition to testing the ALTERNIS language service, LiveReader and Ludwigshafen PSAP piloted LiveReader’s NOTITIA AI tool, which assists call-takers by suggesting questions and extracting call data. The trial involved 184 participants working on 1,319 simulated cases.

Participants rated the solution highly, with an average of 4.1 out of 5 stars, praising its user interface and AI hints. However, Ludwigshafen PSAP found the beta version not ready for live use, noting issues with generative AI and the need for more medical knowledge.",Local,Germany,DE,Integrated Control Centre in Ludwigshafen,Local Government,Public order and safety,Public order and safety n.e.c.,Pilot,2024,2024,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,x,,,,,,,https://eena.org/ai-special-project/,Learning,Machine learning,Generative AI,,,natural language understanding,GovTech,,EU-funded project,Yes,LiveReader GmbH (https://livereader.com/) GTS-1052,,,,,29/09/2025
PSTW-2393,AI pilot in Public Safety Answering Point (PSAP) in Trento (Italy),https://eena.org/wp-content/uploads/2024_12_02_EENA_AI_Project_Final_Report.pdf,"In Trento, Gladia’s AI tool was used in approximately 2,500 emergency calls from mid-August until the end of September 2024. Call taker’s experiences with the tool were evaluated by several means, including through the use of focus groups. The pilot found that while the tool was easy to employ and that Gladia offered great support for its implementation, the transcription technology was not sufficiently developed to work on emergency call audio, which often includes background noise, screams, low network coverage and overlapping speech. As a result, call takers rated the service poorly. Nevertheless, the PSAP expressed interest in using a transcription tool in the future, and noted that transcriptions could be used as inputs for Large Language Model AI tools to provide summaries of emergency calls, offer tips, or automatically input data into the CAD. For its part, Gladia acknowledged that some errors had been found during the pilots, but reported that these issues were resolved through an update in October 2024. The company also noted that some lesser used languages had less accurate results, as the AI had been trained on English French and Spanish. ",Local,Italy,IT,Provincia Autonoma of Trento,Local Government,Public order and safety,Public order and safety n.e.c.,Pilot,2024,2024,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,x,,,,,,,https://eena.org/ai-special-project/,Communication,Natural language processing,,,,natural language understanding,GovTech,,EU-funded project,Yes,Gladia (https://www.gladia.io/) GTS-1053,,,,,29/09/2025
PSTW-2394,Assistente Virtuale Julia,https://julia.comune.roma.it/it/,"Julia is an advanced virtual assistant developed by the Municipality of Rome in collaboration with Microsoft and OpenAI, designed to enhance the experience of tourists and residents, especially during significant events like the 2025 Jubilee. Julia offers personalised services to meet diverse user needs. With an estimated 35 million visitors expected during the 2025 Jubilee, Julia serves as a crucial tool for managing tourism flow, reducing congestion at major sites, and promoting sustainable tourism by highlighting diverse locations. This initiative exemplifies Rome's commitment to leveraging artificial intelligence to improve urban services and enrich the experiences of both visitors and residents. It is available 24/7 and it understands more than 80 languages.",Local,Italy,ITI4,Municipality of Rome,Local Government,General public services,General public services n.e.c.,Implemented,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool ,Learning,Machine learning,Generative AI,,,chatbot,Private corporation,,National-funded project,No,Microsoft and OpenAI,,,,,09/10/2025
PSTW-2395,AI.CAN: AI Citizen Science Aqua Network,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/aican-ai-citizen-science-aqua-network/19,"AI.CAN (Artificial Intelligence Citizen Science Aqua Network) is a project aimed at enhancing aquatic ecology by collecting water quality data through sensor boxes deployed by citizen initiatives, NGOs, environmental associations, and other stakeholders. This data is analysed using an AI application, integrating both official and citizen-collected information. The project is based along the Oder River and collaborates with the Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB) and re:edu (SenseBox). The approach is potentially transferable to other water bodies. ",National,Germany,DE,re:edu GmbH & Co. KG,Private sector,Environmental protection,Environmental protection n.e.c.,Pilot,2024,2024,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2C,x,,x,x,x,,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Learning,Machine learning,,,,,Universities/Research organisations,,National-funded project,Yes,,CivicCoding (https://www.civic-coding.de/),,,,23/10/2025
PSTW-2396,SUMM AI - Creating accessible information: End to end automated with AI,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/end-to-end/40,"The project led by the AI startup SUMM AI, aims to automate the process of illustrating texts using AI to create accessible and understandable content with minimal manual effort. In collaboration with the press office of the Senate of Hamburg, the project seeks to enable public administration employees to efficiently produce barrier-free information. The AI system analyses text content and suggests suitable images from a database, with future capabilities to generate new images if needed. The project focused on promoting equal access to information across Germany.",Local,Germany,DE,Senate of Hamburg,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2024,2024,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,x,x,,,https://www.civic-coding.de/en/project-map,Learning,Machine learning,Generative AI,,,,GovTech,,National-funded project,Yes,SUMM AI (https://summ-ai.com/en/) GTS-1054,,,,,23/10/2025
PSTW-2397,Civic-Sync – Mapping platform for social offerings,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/civic-sync-mapping-plattform-fuer-soziale-angebote/43,"Civic-Sync is a platform designed to build and share collaborative databases of social and cultural offerings, making them available in multiple languages with minimal barriers, all while ensuring GDPR compliance. Supported by AI technologies, the platform offers open interfaces and aims to enhance accessibility for civil society organizations and public institutions. Its goal is to help target groups navigate the abundance of available offerings more effectively. AI is currently used for translation and speech output, with future developments focused on improving search, help, and feedback functions.",Local,Germany,DE,City of Berlin,Local Government,General public services,General public services n.e.c.,Pilot,2024,2024,Public services and engagement,Engagement management,No,Yes,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Communication,Natural language processing,,,,,GovTech,,National-funded project,Yes,Place making (https://place-making.org/) GTS-1055,,,,,23/10/2025
PSTW-2398,Claim - AI for social claims,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/claim/26,"Claim is an AI-based tool that helps users anonymously determine which state funding they are eligible for and provides personalised advice. The tool simplifies access to state aid by calculating individual claims based on a single form. Social workers and counselors can also use the application to guide clients through the process, saving time during consultations. The project aims to break down barriers to government support services, reducing language and bureaucratic challenges. AI technologies, including Machine Learning (ML) and Natural Language Processing (NLP), power the tool's interactive forms, dynamic data extraction, and multilingual capabilities, ensuring seamless access to financial assistance.",Local,Germany,DE,City of Berlin,Local Government,Social protection,Social protection n.e.c.,Pilot,2024,2024,Public services and engagement,Service personalisation (various),No,Yes,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Learning,Machine learning,Natural language processing,,,,GovTech,,National-funded project,Yes,,,,,,23/10/2025
PSTW-2399,Comms4Good - AI for public relations work of social and non-profit organizations,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/comms4good-c4g/14,"The Comms4Good project, a collaboration between IU International University, Producer Media UG, and the non-profit Phineo, is developing an AI-based virtual assistant to support public relations (PR) work for social and non-profit organisations. The tool aims to enable non-experts to carry out professional, low-cost PR tasks, especially in organisations that rely on volunteers. The project, running from January 1, 2024, to December 31, 2024, focused on enhancing communication work, improving work culture, and increasing public visibility. AI will be used to analyze the public presence of organizations and provide recommendations, such as templates for press releases or posters, to assist in communication efforts.",Local,Germany,DE,IU International University,Academic-Research,General public services,General public services n.e.c.,Pilot,2024,2024,Internal management,Service personalisation (various),No,No,Artificial Intelligence,,G2B,x,,,,,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Communication,Natural language processing,,,,,,,National-funded project,,,,,,,23/10/2025
PSTW-2400,CORRECTIV.Faktenforum - AI to combat disinformation,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/correctivfaktenforum/44,"CORRECTIV.Faktenforum is Germany's first fact-checking community, built by CORRECTIV to combat disinformation using a combination of prebunking and debunking strategies, supported by civic tech. The platform allows individuals, regardless of journalistic experience, to collaborate on fact-checking activities from anywhere. Participants engage in identifying false claims, collecting and discussing facts, and sharing their findings, guided by CORRECTIV to ensure journalistic standards. The project integrates AI technologies such as data analysis, machine learning (ML), and generative AI to assist the fact-checking process. The platform also uses human-in-the-loop AI tools like the CORRECTIV.Checkbot to enhance community efforts in combating fake news.",National,Germany,DE,CORRECTIV ,Private sector,General public services,General public services n.e.c.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,Yes,Artificial Intelligence,,G2C,x,x,,x,x,x,,,,,,,,,x,x,x,,https://www.civic-coding.de/en/project-map,Learning,Machine learning,Generative AI,Natural language processing,,,GovTech,,National-funded project,Yes,CIVIC.Faktenforum (https://www.faktenforum.org/) GTS-1056,,,https://github.com/faktenforum,,24/03/2025
PSTW-2401,BOTschafft Inclusion - AI for families with disability,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/botschafft-inklusion/34,"BOTschafft Inklusion is a collaborative project based in Cologne, Germany, involving the Technical University of Cologne, the software company Founders1 GmbH, and the Health Region CologneBonn e.V. The initiative aims to provide accessible consulting and support services, particularly for parents caring for children with disabilities or chronic illnesses, as well as for employers. The goal is to enable these parents to remain employed and actively participate in social life by informing them about available services, rehabilitation, and further training opportunities. By integrating AI technologies, the chatbot can comprehend complex queries, provide personalized recommendations, and continuously learn, offering tailored support that adapts to the individual needs of caregiving parents.",Regional,Germany,DE,Technical University of Cologne,Academic-Research,Social protection,Family and children.,Pilot,2024,2024,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Communication,Natural language processing,,,,chatbot,GovTech,,National-funded project,Yes,,,,,,23/10/2025
PSTW-2402,Deaf.AI - AI for social inclusion,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/https-deafai/47,"Deaf.AI is a project by the German Association of the Deaf aimed at breaking down communication barriers for deaf individuals. By using artificial intelligence trained on extensive sign language video data, the project develops avatars capable of translating sign language automatically. Led by deaf professionals, the initiative ensures practical, needs-based development, promoting inclusivity and improving social and professional participation for the deaf community.",National,Germany,DE,Deutscher Gehörlosen-Bund e.V.,Non-governmental,Social protection,Sickness and disability.,Pilot,2024,2024,Public services and engagement,Service personalisation (various),No,Yes,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Learning,Machine learning,Generative AI,Deep learning,,,GovTech,,National-funded project,Yes,,,,,,23/10/2025
PSTW-2403,Digitaler Erstkontakt (Digital Initial Contact) - AI for counseling services related to family and parenthood,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/digitaler-erstkontakt/1,"To improve access to appropriate counseling services, the ""Digital Initial Contact"" project is developing and evaluating an automated dialogue system called ""guide.me – smart paths to counseling."" As a constantly available contact option, it enables those seeking advice to be directly connected to a counseling facility that meets the content and structural requirements of their case. It will be deployed as a chat or telephone bot in an initial phase within the federal association, and in a second phase starting in fall 2024, also in a partner organisation that operates its own counseling centers. Natural language processing tools are used as a variation of classic AI. This differs from the currently frequently discussed generative AI in that no new content is generated by the technologies themselves; instead, they simply process user input in natural language. The system's outputs, however, are entirely developed and curated by human actors during the development process to ensure maximum control over behavior. Development, testing, and evaluation are carried out within an agile process that enables continuous requirements analysis, design, and implementation of functionalities within short feedback and learning cycles.",Regional,Germany,DE,ProFamilia,Non-governmental,Social protection,Family and children.,Pilot,2023,2025,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Communication,Natural language processing,,,,chatbot,,,National-funded project,,,,,,,23/10/2025
PSTW-2404,EdTech for Diversity in AI,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/edtech-for-diversity-in-ai/46,"Human-centered digital applications, particularly those used for recruiting, are increasingly being adopted by companies. To mitigate the risks of discrimination associated with these applications, companies need to be equipped to implement diversity-sensitive solutions through an AI-supported learning platform. To address this need, the project ""EdTech for Diversity in AI"" (DivAI) was launched and secured a grant through the Civic Innovation Platform's ideas competition. The Civic Innovation Platform is an initiative of the Digital Working Society think tank, supported by the Federal Ministry of Labor and Social Affairs (BMAS) under the patronage of Labor Minister Hubertus Heil. The primary objective of the DivAI project is to assist companies in avoiding discrimination when implementing human-centered digital applications by providing them with the necessary skills. The project aims to offer a practical solution for both companies and their employees to acquire these skills. To ensure widespread adoption of skills for the diversity-sensitive introduction of these applications, the project provides a low-threshold approach through digital training packages embedded in an AI-supported learning platform. The foundation for this skills transfer is the EdTech tool developed by project partner Gabriele Riedmann de Trinidad and her company, platform3L. This tool offers AI-supported training for employees to operate confidently in the digital workplace and foster innovation. The DivAI project utilizes this tool to convey the specific content needed for a diversity-sensitive introduction of human-centered digital applications",Local,Germany,DE,Female Vision,Non-governmental,Education,Education n.e.c.,Pilot,2024,2024,Public services and engagement,Engagement management,No,Yes,Artificial Intelligence,,G2B,x,x,x,,,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Services,AI Services,,,,,GovTech,,National-funded project,Yes,Platfrom3L (https://www.platform3l.com/page/en/) GTS-1064,,,,,23/10/2025
